ID,StationName,Address,City,State,ZipCode,CountryCode,Latitude,Longitude,NumberOfPoints,IsOperational,ConnectionType,Level,Amps,Voltage,PowerKW,CurrentType
29736,College Rd,College Rd,San Bruno,California,94066,US,37.6314033998172,-122.467531465081,,,Type 1 (J1772),Level 2 : Medium (Over 2kW),0.0,0.0,0.0,Unknown
223372,EVCharge4U Main Office,1805 Martin Luther King Jr Way,Berkeley,CA,94709,US,37.874052,-122.27309,,True,Type 1 (J1772),Level 2 : Medium (Over 2kW),16.0,230.0,3.7,AC (Single-Phase)
244410,SMCCD SKY LOT S B4,3300 College Dr,San Bruno,CA,94066,US,37.630683,-122.466066,,True,Type 1 (J1772),Level 2 : Medium (Over 2kW),16.0,230.0,3.7,AC (Single-Phase)
223380,"Safeway 0788 (Mill Valley, CA)",1 Camino Alto,Mill Valley,CA,94941,US,37.89389,-122.53033,,True,Type 1 (J1772),Level 2 : Medium (Over 2kW),0.0,0.0,7.0,AC (Single-Phase)
223380,"Safeway 0788 (Mill Valley, CA)",1 Camino Alto,Mill Valley,CA,94941,US,37.89389,-122.53033,,True,CHAdeMO,Level 3:  High (Over 40kW),0.0,0.0,50.0,DC
223380,"Safeway 0788 (Mill Valley, CA)",1 Camino Alto,Mill Valley,CA,94941,US,37.89389,-122.53033,,True,CCS (Type 1),Level 3:  High (Over 40kW),0.0,0.0,150.0,DC
140980,Greenlots - 112229U,1945 Berkeley Way,Berkeley,CA,BERKE,US,37.8728866577148,-122.271278381348,,True,Type 1 (J1772),Level 2 : Medium (Over 2kW),16.0,230.0,3.7,AC (Single-Phase)
282150,7 Stars Holistic Healing Center,3219 Pierce St,Richmond,CA,94804,US,37.899648,-122.30929,,True,Type 1 (J1772),Level 2 : Medium (Over 2kW),16.0,230.0,3.7,AC (Single-Phase)
244411,SMCCD SKY LOT M2,3300 College Rd. Skyline College,San Bruno,CA,94066,US,37.630865,-122.468175,,True,Type 1 (J1772),Level 2 : Medium (Over 2kW),16.0,230.0,3.7,AC (Single-Phase)
124205,CITYOFBERKELEY,2165 Kittredge St,Berkeley,CA,94704,US,37.868856,-122.266685,,,Type 1 (J1772),Level 2 : Medium (Over 2kW),16.0,230.0,3.0,AC (Single-Phase)
159237,RICHMOND MARINA,1207 Melville Square,Richmond,CA,94804,US,37.915406,-122.347533,,True,Type 1 (J1772),Level 2 : Medium (Over 2kW),16.0,230.0,3.7,AC (Single-Phase)
276241,Bldg 710,710 N McDonnell Rd,San Francisco,CA,94128,US,37.62477,-122.40046,,True,Type 1 (J1772),Level 2 : Medium (Over 2kW),16.0,230.0,3.7,AC (Single-Phase)
276271,HARBOR BAY 1350 #1,1350 S Loop Rd,Alameda,CA,94502,US,37.723165,-122.235012,,True,Type 1 (J1772),Level 2 : Medium (Over 2kW),16.0,230.0,3.7,AC (Single-Phase)
276269,HARBOR BAY 1350 #2,1350 S Loop Rd,Alameda,CA,94502,US,37.723051,-122.235031,,True,Type 1 (J1772),Level 2 : Medium (Over 2kW),16.0,230.0,3.7,AC (Single-Phase)
294088,SMCCD SKY LOT G ST,3300 College Dr Skyline College,San Bruno,CA,94066,US,37.629681,-122.469323,,True,Type 1 (J1772),Level 2 : Medium (Over 2kW),16.0,230.0,3.7,AC (Single-Phase)
244502,EMPLOYEE EH 005,1131 Harbor Bay Pkwy,Alameda,CA,94502,US,37.7283,-122.232451,,True,Type 1 (J1772),Level 2 : Medium (Over 2kW),16.0,230.0,3.7,AC (Single-Phase)
121180,PGE GREEN FUELS,1100 S 27th St,Richmond,CA,94804,US,37.9156442,-122.3433497,,,Type 1 (J1772),Level 2 : Medium (Over 2kW),16.0,230.0,3.0,AC (Single-Phase)
244504,EMPLOYEE EH 4000 01,1141 Harbor Bay Pkwy,Alameda,CA,94502,US,37.728397,-122.231917,,True,Type 1 (J1772),Level 2 : Medium (Over 2kW),16.0,230.0,3.7,AC (Single-Phase)
244408,SMCCD SKY B12 1,3300 College Dr Skyline College,San Bruno,CA,94066,US,37.628674,-122.469185,,True,Type 1 (J1772),Level 2 : Medium (Over 2kW),16.0,230.0,3.7,AC (Single-Phase)
244500,BROADWAY MGT 1151 GATEWAY L2,1151 Harbor Bay Pkwy,Alameda,CA,94502,US,37.726977,-122.231869,,True,Type 1 (J1772),Level 2 : Medium (Over 2kW),16.0,230.0,3.7,AC (Single-Phase)
89444,SMCCD,11 College Rd,Pacifica,CA,94044,US,37.6282798,-122.4679362,,,Type 1 (J1772),Level 2 : Medium (Over 2kW),16.0,230.0,3.0,AC (Single-Phase)
276240,SFO West Field,San Francisco International Airport,San Francisco,CA,94128,US,37.62289,-122.395127,,True,NEMA 14-50,Level 1 : Low (Under 2kW),16.0,120.0,1.9,AC (Single-Phase)
8649,1151 Harbor Bay Pkwy,1151 Harbor Bay Pkwy,Alameda,California,94502,US,37.72704697,-122.2310104,1.0,,Type 1 (J1772),Level 2 : Medium (Over 2kW),0.0,0.0,0.0,Unknown
8649,1151 Harbor Bay Pkwy,1151 Harbor Bay Pkwy,Alameda,California,94502,US,37.72704697,-122.2310104,1.0,,NEMA 5-20R,Level 1 : Low (Under 2kW),0.0,0.0,0.0,Unknown
103693,Super 8 San Bruno /SF Intl Arpt West,421 el Camino Real,San Bruno,California,94066,US,37.621832,-122.412209,2.0,True,Tesla (Model S/X),Level 2 : Medium (Over 2kW),0.0,0.0,10.0,AC (Single-Phase)
161225,"El Cerrito, Ca Supercharger",280 el Cerrito Plaza,El Cerrito,CA,94530,US,37.898635,-122.300672,14.0,True,NACS / Tesla Supercharger,Level 3:  High (Over 40kW),0.0,0.0,72.0,DC
223153,EUREKA SQUARE 90 EUREKA 2,110 Eureka Dr,Pacifica,CA,94044,US,37.633297,-122.488827,,True,Type 1 (J1772),Level 2 : Medium (Over 2kW),16.0,230.0,3.7,AC (Single-Phase)
71401,CITYOFBERKELEY,2450 Durant Ave,Berkeley,CA,94704,US,37.867469,-122.260082,,,Type 1 (J1772),Level 2 : Medium (Over 2kW),16.0,230.0,3.0,AC (Single-Phase)
244651,GARAGE T-C GARAGE #2,2450 Durant Ave,Berkeley,CA,94704,US,37.867361,-122.259509,,True,Type 1 (J1772),Level 2 : Medium (Over 2kW),16.0,230.0,3.7,AC (Single-Phase)
276239,SFO 674 North McDonnell Road Stations,674 N McDonnell Rd,San Francisco,CA,94128,US,37.62169,-122.39936,,True,Type 1 (J1772),Level 2 : Medium (Over 2kW),16.0,230.0,3.7,AC (Single-Phase)
223151,EUREKA SQUARE 90 EUREKA 1,20-210 Eureka Square Dr,Pacifica,CA,94044,US,37.632609,-122.489106,,True,Type 1 (J1772),Level 2 : Medium (Over 2kW),16.0,230.0,3.7,AC (Single-Phase)
132677,"Richmond, Ca Supercharger",2157 Meeker Avenue,Richmond,CA,94804,US,37.91989,-122.348601,12.0,True,NACS / Tesla Supercharger,Level 3:  High (Over 40kW),0.0,0.0,150.0,DC
140988,Whole Foods Mill Valley - E Blithedale,731 E Blithedale Ave,Mill Valley,CA,94941,US,37.902443,-122.525354,,True,CHAdeMO,Level 3:  High (Over 40kW),0.0,0.0,50.0,DC
140988,Whole Foods Mill Valley - E Blithedale,731 E Blithedale Ave,Mill Valley,CA,94941,US,37.902443,-122.525354,,True,CCS (Type 1),Level 3:  High (Over 40kW),0.0,0.0,50.0,DC
9891,333 El Camino Real,333 El Camino Real,San Bruno,California,94066,US,37.62034988,-122.4113617,,,Type 1 (J1772),Level 2 : Medium (Over 2kW),0.0,0.0,0.0,Unknown
9891,333 El Camino Real,333 El Camino Real,San Bruno,California,94066,US,37.62034988,-122.4113617,,,NEMA 5-20R,Unknown,0.0,0.0,0.0,Unknown
244664,"2157 Meeker Ave - Richmond, CA - Tesla Destination",2157 Meeker Ave,Richmond,CA,94804,US,37.920216,-122.348133,,True,Type 1 (J1772),Level 2 : Medium (Over 2kW),16.0,230.0,3.7,AC (Single-Phase)
